Year,Position,Name,ALRAS,RAS
2018,QB,John Wolford,6.11,6.19
1992,QB,Kent Graham,4.14,6.17
2014,QB,Stephen Morris,6.22,6.17
1987,QB,Kelly Stouffer,2.67,6.15
2008,QB,Alex Brink,5.3,6.15
2014,QB,Kenny Guiton,6.16,6.13
2012,QB,Case Keenum,6.18,6.11
2015,QB,Jerry Lovelocke,5.99,6.11
2003,QB,Tony Romo,4.44,6.1
2005,QB,Chris Rix,5.01,6.1
2010,QB,Mike Kafka,5.64,6.09
2019,QB,Gus Ragland,6.09,6.09
2016,QB,Jared Goff,6.13,6.08
2017,QB,David Ash,6.17,6.08
2018,QB,Logan Woodside,6.07,6.04
2009,QB,Matthew Stafford,5.17,6.03
2013,QB,Ryan Aplin,5.96,6.01
1989,QB,Rodney Peete,3.78,6
1993,QB,Erik White,3.36,6
1995,QB,Terry Dean,3.57,5.97
2010,QB,Levi Brown,5.7,5.96
2019,QB,Gardner Minshew,5.95,5.95
2012,QB,Dan Persa,5.89,5.93
2008,QB,Sam Keller,5.35,5.92
2017,QB,Jerod Evans,6,5.9
2017,QB,Philip Nelson,6.09,5.87
2010,QB,Tony Pike,5.16,5.86
2016,QB,Vernon Adams,5.86,5.86
1994,QB,Jim Ballard,3.29,5.85
2005,QB,Jason White,4.36,5.85
2004,QB,Rod Rutherford,4.71,5.84
2013,QB,James Vandenberg,5.69,5.84
2018,QB,Kurt Benkert,5.79,5.84
2007,QB,James Pinkney,4.92,5.83
2017,QB,Anthony Jennings,6.02,5.82
1991,QB,Grady Bennett,1.56,5.81
1990,QB,Mark Carr,2.53,5.79
2014,QB,Bryn Renner,5.63,5.79
2008,QB,Matt Ryan,5.09,5.77
2018,QB,Chad Kanoff,5.57,5.77
2019,QB,Brett Rypien,5.77,5.77
1989,QB,Jeff Carlson,2.27,5.75
2010,QB,Justin Dunk,5.78,5.75
1992,QB,Jeff Blake,3.19,5.74
2005,QB,Craig Ochs,4.45,5.74
2017,QB,Wuinterris Toppings,5.87,5.74
2018,QB,J.T. Barrett,5.74,5.73
2019,QB,Jake Browning,5.72,5.72
1994,QB,Jimmy Klingler,2.83,5.69
2000,QB,Tim Rattay,3.49,5.66
2016,QB,Trevone Boykin,5.82,5.66
2017,QB,Trenton Norvell,5.85,5.66
1996,QB,Antwan Chiles,3.58,5.65
1997,QB,Danny Wuerffel,1.73,5.65
2018,QB,Sam Darnold,5.65,5.63
1994,QB,Jewel Walker,3.06,5.61
1999,QB,Brock Huard,3.23,5.61
1988,QB,Stan Humphries,1.77,5.6
2003,QB,Brian St. Pierre,3.54,5.58
2012,QB,B.J. Coleman,5.34,5.56
2018,QB,Anu Solomon,5.61,5.55
1992,QB,Mark Barsotti,2.07,5.53
2008,QB,Kyle Wright,4.88,5.53
2009,QB,Tom Brandstater,4.77,5.53
2019,QB,Isaac Harker,5.53,5.53
2017,QB,David Washington,5.81,5.52
2007,QB,Luke Getsy,4.62,5.51
2019,QB,Eystin Salum,5.51,5.51
2016,QB,Max Wittek,5.59,5.49
2019,QB,Jarrett Stidham,5.48,5.48
2000,QB,Kevin Feterik,2.75,5.47
2019,QB,Delmon Williams,5.47,5.47
1993,QB,Alex Van Pelt,2.49,5.45
2007,QB,Tyler Palko,4.83,5.45
2018,QB,Tyler Rogers,5.44,5.45
2017,QB,Wes Lunt,5.51,5.39
1987,QB,Jeff Van Raaphorst,2.66,5.38
2008,QB,Paul Smith,4.73,5.36
2013,QB,Alex Carder,5.4,5.36
2017,QB,Dillon Buechel,5.42,5.35
2017,QB,Kyle Sloter,5.39,5.35
2005,QB,Brock Berlin,3.98,5.32
1999,QB,Oscar Davenport,2.45,5.31
2010,QB,Jevan Snead,4.93,5.3
2013,QB,Landry Jones,5.22,5.29
1994,QB,Paul Burmeister,2.58,5.28
2012,QB,Kyle Quinlan,5,5.28
1989,QB,Brent Snyder,2.16,5.25
2016,QB,James Harris III,5.31,5.24
2017,QB,Brendan Motley,5.33,5.24
